episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
0,14,-3.018,0.939,9.3,-0.972,-0.179,3.194,165,0,2.4
1,2075,3.223,0.875,48.2,3.0,0.254,0.376,210,1,15.2
2,2597,4.084,0.871,32.0,3.0,0.264,0.379,225,1,29.8
3,2325,2.089,0.87,3.9,3.0,-0.328,0.38,255,0,42.8
4,4747,1.2,0.876,49.0,2.015,0.274,0.374,210,0,69.8
5,4584,1.435,0.872,33.7,0.49,0.111,0.378,225,0,96.1
6,6187,2.638,0.882,57.9,-0.182,0.147,0.37,210,1,133.1
7,3895,2.909,0.873,28.1,2.64,-0.168,0.378,240,1,154.7
8,41,8.125,-0.425,-105.8,-1.0,0.354,0.174,315,2,155.0
10,2400,3.363,0.895,39.0,2.527,0.032,0.363,225,1,216.3
13,4447,7.069,0.871,40.1,1.107,-0.001,0.378,225,2,309.4
14,4808,7.067,0.871,40.1,1.113,-0.001,0.379,225,2,328.7
16,7537,8.977,1.277,58.1,1.283,0.02,0.225,300,2,418.2
18,4288,4.214,1.01,16.3,3.0,-0.039,0.24,240,1,489.5
19,6759,7.59,0.874,38.1,-0.575,-0.416,0.376,225,2,529.2
20,5451,8.562,0.873,30.4,3.0,0.404,0.376,225,2,559.7
21,5114,7.375,0.87,32.7,3.0,-0.575,0.38,225,2,589.5
23,3687,8.231,0.87,0.9,2.694,-0.078,0.38,255,2,632.3
24,3585,8.08,0.873,11.4,3.0,0.043,0.377,255,2,647.2
29,4230,8.375,0.87,29.6,1.446,0.4,0.38,240,2,858.0
30,3101,6.061,0.871,22.3,3.0,-0.313,0.378,240,1,876.8
31,1982,3.328,0.889,53.1,1.663,0.099,0.365,210,1,888.5
32,2871,4.032,0.874,16.0,2.74,0.075,0.377,240,1,904.9
33,3333,4.118,0.873,11.8,2.412,-0.146,0.378,255,1,924.7
34,2481,3.304,0.873,20.4,3.0,0.166,0.377,240,1,938.8
36,1135,2.269,0.871,27.1,1.851,0.005,0.379,240,1,943.6
37,1128,2.273,0.873,27.1,1.843,0.004,0.377,240,1,948.3
38,2676,2.757,0.872,30.8,3.0,-0.138,0.378,225,1,963.6
39,3152,1.507,0.871,29.4,-1.0,-0.35,0.379,240,0,982.3
40,3058,2.014,0.871,26.0,-1.0,-0.26,0.379,240,0,999.6
41,4766,2.694,0.87,26.2,1.022,0.044,0.38,240,1,1026.8
42,2237,2.246,0.904,93.2,3.0,0.443,0.348,165,1,1041.5
43,2048,2.671,0.953,46.5,3.0,0.032,0.305,210,1,1053.9
44,4821,3.424,0.873,22.1,-0.745,-0.024,0.377,240,1,1082.5
49,3754,8.083,0.87,18.0,2.793,-0.003,0.38,240,2,1256.7
50,3898,8.103,0.872,18.0,2.784,-0.004,0.378,240,2,1272.6
53,7248,9.044,1.015,71.2,1.307,0.222,0.378,240,2,1409.1
