episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-751.156,14,0,7,oob,-3.018,0.939,2.4
2,-8742.229,2075,1,7,collision,3.223,0.875,15.2
3,-20934.322,2597,1,7,collision,4.084,0.871,29.8
4,-13879.903,2325,0,7,collision,2.089,0.87,42.8
5,-26846.582,4747,0,7,collision,1.2,0.876,69.8
6,-23524.283,4584,0,7,collision,1.435,0.872,96.1
7,-34080.262,6187,1,7,collision,2.638,0.882,133.1
8,-18720.722,3895,1,7,collision,2.909,0.873,154.7
9,-934.84,41,2,7,collision,8.125,-0.425,155.0
10,-36621.639,8000,1,7,timeout,2.777,0.489,201.5
11,-4269.702,2400,1,7,collision,3.363,0.895,216.3
12,-22625.454,8000,2,7,timeout,7.894,0.669,260.7
13,-11358.051,5135,1,7,timeout,5.588,0.119,291.1
14,-20053.449,4447,2,7,collision,7.069,0.871,309.4
15,-24244.548,4808,2,7,collision,7.067,0.871,328.7
16,-46143.611,8000,2,7,timeout,6.999,0.815,374.6
17,-23353.883,7537,2,7,collision,8.977,1.277,418.2
18,-12314.489,8000,1,7,timeout,5.722,0.239,462.6
19,-18023.584,4288,1,7,collision,4.214,1.01,489.5
20,-26617.553,6759,2,7,collision,7.59,0.874,529.2
21,-20660.986,5451,2,7,collision,8.562,0.873,559.7
22,-19639.57,5114,2,7,collision,7.375,0.87,589.5
23,-6196.414,4851,1,7,timeout,2.047,-0.307,617.2
24,-21149.609,3687,2,7,collision,8.231,0.87,632.3
25,-18602.387,3585,2,7,collision,8.08,0.873,647.2
26,-22674.72,8000,2,7,timeout,7.173,0.024,694.0
27,-3645.444,8000,1,7,timeout,5.38,0.066,740.6
28,-13688.417,8000,1,7,timeout,5.303,-0.32,787.2
29,-34527.853,8000,2,7,timeout,8.405,0.487,833.7
30,-14494.847,4230,2,7,collision,8.375,0.87,858.0
31,-13189.76,3101,1,7,collision,6.061,0.871,876.8
32,-2501.88,1982,1,7,collision,3.328,0.889,888.5
33,-11585.791,2871,1,7,collision,4.032,0.874,904.9
34,-7061.815,3333,1,7,collision,4.118,0.873,924.7
35,-16010.515,2481,1,7,collision,3.304,0.873,938.8
36,0.236,2,0,7,timeout,0.006,-0.0,938.9
37,-7543.888,1135,1,7,collision,2.269,0.871,943.6
38,-7463.869,1128,1,7,collision,2.273,0.873,948.3
39,-16377.208,2676,1,7,collision,2.757,0.872,963.6
40,-18381.337,3152,0,7,collision,1.507,0.871,982.3
41,-21855.823,3058,0,7,collision,2.014,0.871,999.6
42,-30712.688,4766,1,7,collision,2.694,0.87,1026.8
43,-4508.473,2237,1,7,collision,2.246,0.904,1041.5
44,-3184.825,2048,1,7,collision,2.671,0.953,1053.9
45,-32519.133,4821,1,7,collision,3.424,0.873,1082.5
46,-4474.52,8000,1,7,timeout,2.8,-0.11,1130.3
47,-6910.887,8000,1,7,timeout,2.925,0.088,1176.3
48,-10927.413,8000,1,7,timeout,5.812,-0.368,1222.3
49,582.335,3242,1,7,timeout,5.513,-0.01,1241.0
50,-12843.967,3754,2,7,collision,8.083,0.87,1256.7
51,-13133.213,3898,2,7,collision,8.103,0.872,1272.6
52,-12826.465,8000,2,7,timeout,9.482,0.668,1318.1
53,-60747.818,8000,1,7,timeout,2.46,-0.739,1366.0
54,-31195.659,7248,2,7,collision,9.045,1.018,1409.1
55,-26979.785,8000,2,7,timeout,6.99,0.3,1454.3
56,-9566.744,8000,1,7,timeout,3.479,-0.29,1501.4
