episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
1,100,23.887,0.0,0.148,0.063,0.0,0.0,0.0,-0.05,0.0,1.233,0,0.148,0.018,0.296,-0.173
1,200,47.154,0.0,0.144,-0.038,-0.023,0.0,0.0,-0.05,0.0,1.195,0,0.354,0.055,3.0,-0.138
1,300,43.739,0.146,0.136,-0.297,-0.199,0.0,0.0,-0.05,0.0,1.16,0,0.489,0.092,3.0,0.393
1,400,1.709,0.021,0.129,-0.743,-0.515,0.0,0.0,-0.05,0.0,1.097,0,0.612,0.153,3.0,-0.029
1,500,-78.944,0.165,0.126,-1.06,-0.738,0.0,0.0,-0.05,0.0,1.052,0,0.688,0.199,-1.0,-0.167
1,600,-190.442,0.09,0.128,-1.418,-0.996,0.0,0.0,-0.05,0.0,1.001,0,0.785,0.25,3.0,-0.347
1,700,-342.065,0.178,0.131,-1.816,-1.281,0.0,0.0,-0.05,0.0,0.944,0,0.908,0.308,1.025,-0.243
1,800,-525.777,0.207,0.129,-2.19,-1.548,0.0,0.0,-0.05,0.0,0.89,0,1.061,0.361,3.0,-0.056
1,900,-747.885,0.22,0.132,-2.513,-1.779,0.0,0.0,-0.05,0.0,0.844,0,1.2,0.408,1.516,0.113
1,1000,-1002.804,0.147,0.129,-2.818,-1.998,0.0,0.0,-0.05,0.0,0.8,0,1.343,0.45,0.356,-0.192
1,1100,-1282.792,0.0,0.132,-3.121,-2.216,0.0,0.0,-0.05,0.0,0.757,0,1.536,0.493,1.386,0.056
1,1200,-1590.313,0.0,0.134,-3.29,-2.338,0.0,0.0,-0.05,0.0,0.732,0,1.682,0.518,1.075,-0.309
1,1300,-1906.041,0.039,0.137,-3.296,-2.345,0.0,0.0,-0.05,0.0,0.731,0,1.842,0.519,1.566,-0.005
1,1400,-2110.13,0.163,0.154,-3.185,-2.278,0.0,0.0,-0.05,0.0,0.744,1,2.056,0.505,3.0,0.112
1,1500,-2414.591,0.414,0.138,-3.299,-2.347,0.0,0.0,-0.05,0.0,0.731,1,2.222,0.52,1.149,0.314
1,1600,-2757.635,0.064,0.129,-3.974,-2.583,-0.333,0.0,-0.05,0.0,0.683,1,2.353,0.568,3.0,0.289
1,1700,-3224.531,0.0,0.13,-5.825,-2.927,-1.707,0.0,-0.05,0.0,0.615,1,2.488,0.636,0.532,-0.517
1,1800,-3870.915,0.077,0.131,-7.407,-3.22,-2.88,0.0,-0.05,0.0,0.556,1,2.653,0.694,3.0,0.429
1,1900,-4654.501,0.075,0.139,-8.504,-3.424,-3.697,0.0,-0.05,0.0,0.515,1,2.776,0.736,3.0,-0.257
1,2000,-6454.87,0.35,0.142,-18.934,-3.565,-4.259,-9.674,-0.05,0.0,0.487,1,3.002,0.764,1.709,0.13
2,100,30.147,0.196,0.152,0.085,0.0,0.0,0.0,-0.05,0.0,1.242,0,0.202,0.008,1.986,-0.021
2,200,53.938,0.0,0.147,0.05,0.0,0.0,0.0,-0.05,0.0,1.226,0,0.37,0.023,0.094,0.363
2,300,69.272,0.21,0.139,-0.097,-0.061,0.0,0.0,-0.05,0.0,1.188,0,0.515,0.063,1.293,0.213
2,400,50.53,0.101,0.13,-0.562,-0.386,0.0,0.0,-0.05,0.0,1.123,0,0.66,0.128,3.0,0.028
2,500,-14.691,0.192,0.132,-0.893,-0.623,0.0,0.0,-0.05,0.0,1.075,0,0.747,0.176,3.0,-0.172
2,600,-111.133,0.016,0.132,-1.188,-0.835,0.0,0.0,-0.05,0.0,1.033,0,0.84,0.217,-0.049,0.0
2,700,-235.977,0.211,0.124,-1.593,-1.117,0.0,0.0,-0.05,0.0,0.977,0,0.953,0.275,3.0,-0.065
2,800,-406.251,0.093,0.123,-1.931,-1.36,0.0,0.0,-0.05,0.0,0.928,0,1.031,0.322,3.0,0.055
2,900,-603.751,0.063,0.122,-2.095,-1.474,0.0,0.0,-0.05,0.0,0.905,0,1.068,0.346,3.0,0.035
2,1000,-821.767,-0.001,0.122,-2.321,-1.637,0.0,0.0,-0.05,0.0,0.873,0,1.121,0.378,2.895,0.196
2,1100,-1064.951,0.028,0.119,-2.704,-1.909,0.0,0.0,-0.05,0.0,0.818,0,1.217,0.432,3.0,0.05
2,1200,-1341.622,0.0,0.12,-2.993,-2.112,0.0,0.0,-0.05,0.0,0.778,0,1.299,0.476,-0.63,0.07
2,1300,-1648.888,0.061,0.12,-3.338,-2.363,0.0,0.0,-0.05,0.0,0.727,0,1.388,0.523,1.556,-0.187
2,1400,-1994.979,0.116,0.122,-3.947,-2.577,-0.31,0.0,-0.05,0.0,0.685,0,1.494,0.566,1.818,-0.218
2,1500,-2420.268,0.357,0.126,-4.802,-2.737,-0.946,0.0,-0.05,0.0,0.653,0,1.598,0.598,-0.85,-0.282
2,1600,-2919.445,0.195,0.133,-5.321,-2.834,-1.336,0.0,-0.05,0.0,0.633,0,1.743,0.617,3.0,-0.004
2,1700,-3436.019,0.332,0.133,-5.235,-2.818,-1.273,0.0,-0.05,0.0,0.636,0,1.905,0.614,0.76,0.114
2,1800,-3843.333,0.195,0.142,-5.329,-2.837,-1.349,0.0,-0.05,0.0,0.633,1,2.054,0.617,3.0,0.287
2,1900,-4415.453,0.267,0.136,-6.506,-3.054,-2.215,0.0,-0.05,0.0,0.589,1,2.242,0.662,0.108,0.543
2,2000,-5125.515,0.16,0.133,-8.05,-3.339,-3.356,0.0,-0.05,0.0,0.532,1,2.401,0.719,1.063,0.173
2,2100,-7495.646,0.227,0.149,-31.207,-3.927,-5.708,-20.0,-0.05,0.0,0.415,1,3.245,0.835,3.0,0.054
2,2200,-10106.343,0.0,0.152,-20.007,-3.845,-5.382,-9.244,-0.05,0.0,0.431,1,3.431,0.819,1.655,-0.102
2,2300,-12687.634,0.03,0.149,-30.131,-3.728,-4.911,-20.0,-0.05,0.0,0.454,1,3.624,0.795,3.0,0.148
2,2400,-15239.417,0.147,0.143,-24.826,-3.724,-4.895,-14.711,-0.05,0.0,0.455,1,3.824,0.795,2.339,0.148
2,2500,-17921.435,0.171,0.128,-30.614,-3.813,-5.252,-20.0,-0.05,0.0,0.437,1,3.957,0.814,3.0,0.291
3,100,26.149,0.234,0.148,0.063,0.0,0.0,0.0,-0.05,0.0,1.233,0,0.172,0.018,3.0,0.171
3,200,42.355,0.0,0.134,-0.19,-0.123,0.0,0.0,-0.05,0.0,1.175,0,0.342,0.075,0.704,-0.003
3,300,14.305,0.042,0.128,-0.572,-0.392,0.0,0.0,-0.05,0.0,1.122,0,0.446,0.129,2.673,0.195
3,400,-48.682,0.002,0.122,-0.828,-0.572,0.0,0.0,-0.05,0.0,1.086,0,0.497,0.164,1.397,-0.204
3,500,-138.464,0.0,0.122,-0.963,-0.668,0.0,0.0,-0.05,0.0,1.066,0,0.523,0.184,-1.0,-0.219
3,600,-241.732,0.002,0.122,-1.159,-0.807,0.0,0.0,-0.05,0.0,1.039,0,0.56,0.212,0.069,-0.046
3,700,-358.632,0.0,0.127,-1.361,-0.953,0.0,0.0,-0.05,0.0,1.009,0,0.607,0.242,-0.479,-0.438
3,800,-503.825,0.044,0.132,-1.775,-1.255,0.0,0.0,-0.05,0.0,0.949,0,0.725,0.301,-1.0,-0.27
3,900,-684.215,0.244,0.132,-2.141,-1.514,0.0,0.0,-0.05,0.0,0.897,0,0.892,0.354,2.211,0.096
