episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
1,100,20.557,0.015,0.152,0.102,0.0,0.0,0.0,-0.05,0.0,1.25,0,0.101,0.0,2.654,0.5
1,200,42.419,0.0,0.145,0.045,0.0,0.0,0.0,-0.05,0.0,1.227,0,0.24,0.025,3.0,0.245
1,300,49.941,0.058,0.129,-0.084,-0.044,0.0,0.0,-0.05,0.0,1.191,0,0.318,0.059,0.635,0.55
1,400,32.014,0.0,0.123,-0.32,-0.209,0.0,0.0,-0.05,0.0,1.158,0,0.364,0.092,-0.045,0.067
1,500,-6.087,0.081,0.125,-0.532,-0.36,0.0,0.0,-0.05,0.0,1.128,0,0.402,0.123,3.0,-0.448
1,600,-64.437,0.007,0.134,-0.745,-0.52,0.0,0.0,-0.05,0.0,1.096,0,0.454,0.155,-1.0,-0.611
1,700,-141.781,0.079,0.131,-1.053,-0.736,0.0,0.0,-0.05,0.0,1.053,0,0.581,0.199,3.0,0.389
1,800,-256.773,0.187,0.124,-1.33,-0.924,0.0,0.0,-0.05,0.0,1.015,0,0.645,0.24,-1.0,-0.272
1,900,-396.725,0.12,0.127,-1.521,-1.068,0.0,0.0,-0.05,0.0,0.986,0,0.681,0.265,3.0,-0.75
1,1000,-552.78,0.0,0.138,-1.722,-1.221,0.0,0.0,-0.05,0.0,0.956,0,0.756,0.294,-1.0,-0.5
1,1100,-716.225,0.146,0.153,-1.774,-1.269,0.0,0.0,-0.05,0.0,0.946,0,0.883,0.304,3.0,-0.364
1,1200,-878.588,0.12,0.148,-1.723,-1.229,0.0,0.0,-0.05,0.0,0.954,0,0.997,0.296,3.0,0.526
1,1300,-1046.499,0.024,0.137,-1.763,-1.25,0.0,0.0,-0.05,0.0,0.95,0,1.058,0.3,-1.0,0.55
1,1400,-1222.85,0.188,0.127,-1.89,-1.331,0.0,0.0,-0.05,0.0,0.934,0,1.116,0.318,-0.992,0.209
1,1500,-1414.319,-0.044,0.121,-2.062,-1.452,0.0,0.0,-0.05,0.0,0.91,0,1.156,0.34,3.0,-0.128
1,1600,-1626.596,0.105,0.121,-2.224,-1.568,0.0,0.0,-0.05,0.0,0.886,0,1.192,0.363,3.0,-0.228
1,1700,-1855.072,0.029,0.13,-2.433,-1.722,0.0,0.0,-0.05,0.0,0.856,0,1.257,0.396,3.0,-0.4
1,1800,-2099.659,0.0,0.139,-2.536,-1.803,0.0,0.0,-0.05,0.0,0.839,0,1.325,0.411,-1.0,-0.55
1,1900,-2344.203,0.0,0.141,-2.551,-1.815,0.0,0.0,-0.05,0.0,0.837,0,1.43,0.413,3.0,0.7
1,2000,-2594.473,0.156,0.125,-2.68,-1.895,0.0,0.0,-0.05,0.0,0.821,0,1.513,0.43,3.0,0.65
1,2100,-2848.561,0.007,0.141,-2.451,-1.745,0.0,0.0,-0.05,0.0,0.851,0,1.428,0.399,-0.522,0.75
1,2200,-3089.461,0.0,0.127,-2.619,-1.851,0.0,0.0,-0.05,0.0,0.83,0,1.53,0.422,3.0,0.35
1,2300,-3364.509,0.0,0.118,-2.916,-2.059,0.0,0.0,-0.05,0.0,0.788,0,1.608,0.462,1.81,-0.004
1,2400,-3662.335,0.018,0.119,-3.205,-2.267,0.0,0.0,-0.05,0.0,0.747,0,1.695,0.503,-1.0,0.296
1,2500,-3987.248,-0.008,0.123,-3.457,-2.45,0.0,0.0,-0.05,0.0,0.71,0,1.795,0.54,-1.0,-0.446
1,2600,-4336.305,-0.037,0.133,-3.762,-2.545,-0.181,0.0,-0.05,0.0,0.691,0,1.934,0.559,3.0,-0.346
1,2700,-4579.722,0.174,0.153,-3.444,-2.462,0.0,0.0,-0.05,0.0,0.708,1,2.094,0.542,3.0,0.454
1,2800,-4915.64,0.082,0.14,-3.489,-2.484,0.0,0.0,-0.05,0.0,0.703,1,2.204,0.547,3.0,0.7
1,2900,-5279.343,-0.009,0.128,-4.088,-2.605,-0.419,0.0,-0.05,0.0,0.679,1,2.274,0.571,3.0,0.45
1,3000,-5727.128,-0.022,0.12,-4.982,-2.769,-1.075,0.0,-0.05,0.0,0.646,1,2.328,0.604,3.0,0.66
1,3100,-6257.455,0.021,0.114,-5.541,-2.871,-1.485,0.0,-0.05,0.0,0.626,1,2.355,0.624,0.022,0.05
1,3200,-6840.265,0.0,0.112,-6.0,-2.956,-1.823,0.0,-0.05,0.0,0.609,1,2.373,0.642,3.0,-0.15
1,3300,-7455.569,-0.002,0.112,-6.368,-3.025,-2.099,0.0,-0.05,0.0,0.595,1,2.387,0.655,-1.0,0.088
1,3400,-8105.039,-0.003,0.113,-6.692,-3.084,-2.337,0.0,-0.05,0.0,0.583,1,2.4,0.667,3.0,-0.412
1,3500,-8800.355,0.025,0.11,-7.289,-3.194,-2.775,0.0,-0.05,0.0,0.561,1,2.424,0.69,3.0,0.088
1,3600,-9578.198,0.0,0.109,-8.109,-3.346,-3.384,0.0,-0.05,0.0,0.531,1,2.452,0.719,2.677,-0.352
1,3700,-10472.621,0.0,0.116,-28.961,-3.505,-4.02,-20.0,-0.05,0.0,0.499,1,2.485,0.751,3.0,-0.332
