episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-1282.549,8000,1,7,timeout,2.517,0.1,47.0
2,-17232.738,8000,0,7,timeout,0.635,0.321,96.0
3,-567.023,9,0,7,oob,-3.014,-0.081,96.2
4,-13588.067,8000,0,7,timeout,0.232,0.225,144.4
5,-57168.137,8000,0,7,timeout,0.639,-0.568,193.2
6,-6952.574,8000,1,7,timeout,2.408,0.183,241.8
7,-22595.453,8000,1,7,timeout,2.355,0.608,290.6
8,-2534.168,1991,1,7,timeout,2.247,0.537,303.1
9,-828.948,41,1,7,collision,5.76,-0.991,303.4
10,-35040.138,8000,1,7,timeout,3.086,0.618,339.0
11,-9580.4,8000,1,7,timeout,2.888,0.48,391.4
12,-1025.335,41,0,7,collision,2.517,-1.447,391.7
13,-20290.747,8000,1,7,timeout,4.801,0.644,440.4
