episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,21.8,0.065,0.15,0.091,0.0,0.0,0.0,-0.05,0.0,1.245,0,0.118,0.005,1.228,0.599
0,200,36.264,0.037,0.144,0.073,0.0,0.0,0.0,-0.05,0.0,1.24,0,0.175,0.01,3.0,-0.05
0,300,54.658,0.184,0.155,0.039,0.0,0.0,0.0,-0.05,0.0,1.218,0,0.308,0.033,3.0,-0.053
0,400,74.424,0.008,0.15,0.034,0.0,0.0,0.0,-0.05,0.0,1.217,0,0.467,0.033,3.0,0.547
0,500,83.256,0.001,0.14,-0.026,-0.011,0.0,0.0,-0.05,0.0,1.198,0,0.547,0.053,3.0,0.132
0,600,78.989,0.039,0.136,-0.147,-0.095,0.0,0.0,-0.05,0.0,1.181,0,0.595,0.069,3.0,0.132
0,700,59.518,0.0,0.133,-0.282,-0.189,0.0,0.0,-0.05,0.0,1.162,0,0.636,0.088,-1.0,0.532
0,800,32.355,-0.001,0.131,-0.313,-0.21,0.0,0.0,-0.05,0.0,1.158,0,0.649,0.092,-1.0,-0.068
0,900,-0.109,0.007,0.133,-0.402,-0.275,0.0,0.0,-0.05,0.0,1.145,0,0.674,0.105,-1.0,-0.168
0,1000,-42.152,0.0,0.135,-0.499,-0.344,0.0,0.0,-0.05,0.0,1.131,0,0.704,0.12,3.0,-0.627
0,1100,-94.586,0.081,0.142,-0.688,-0.485,0.0,0.0,-0.05,0.0,1.103,0,0.797,0.148,-1.0,-0.227
0,1200,-164.152,0.0,0.14,-0.78,-0.55,0.0,0.0,-0.05,0.0,1.09,0,0.854,0.16,-1.0,0.356
0,1300,-241.9,0.0,0.137,-0.885,-0.623,0.0,0.0,-0.05,0.0,1.075,0,0.912,0.175,-1.0,0.519
0,1400,-332.261,-0.023,0.133,-1.02,-0.717,0.0,0.0,-0.05,0.0,1.057,0,0.964,0.194,3.0,-0.245
0,1500,-434.135,0.151,0.139,-1.161,-0.821,0.0,0.0,-0.05,0.0,1.036,0,1.031,0.215,0.247,0.055
0,1600,-550.882,0.015,0.134,-1.33,-0.938,0.0,0.0,-0.05,0.0,1.012,0,1.11,0.238,-0.334,0.153
0,1700,-685.423,-0.027,0.132,-1.412,-0.996,0.0,0.0,-0.05,0.0,1.001,0,1.14,0.249,-1.0,0.148
0,1800,-825.94,0.051,0.133,-1.55,-1.096,0.0,0.0,-0.05,0.0,0.981,0,1.19,0.269,1.898,-0.152
0,1900,-982.035,0.0,0.136,-1.679,-1.189,0.0,0.0,-0.05,0.0,0.962,0,1.254,0.288,3.0,-0.252
0,2000,-1147.951,0.011,0.138,-1.808,-1.283,0.0,0.0,-0.05,0.0,0.943,0,1.335,0.307,-1.0,0.228
0,2100,-1091.064,0.0,0.105,-0.283,-0.17,0.0,0.0,-0.05,0.0,1.166,1,1.91,0.084,3.0,0.281
0,2200,-1119.446,0.011,0.104,-0.261,-0.154,0.0,0.0,-0.05,0.0,1.169,1,1.913,0.081,3.0,-0.165
0,2300,-1140.719,0.0,0.103,-0.188,-0.101,0.0,0.0,-0.05,0.0,1.18,1,1.919,0.07,-1.0,-0.52
0,2400,-1155.652,-0.001,0.102,-0.125,-0.054,0.0,0.0,-0.05,0.0,1.189,1,1.925,0.061,-1.0,-0.7
0,2500,-1166.416,0.0,0.1,-0.08,-0.023,0.0,0.0,-0.05,0.0,1.195,1,1.93,0.054,-1.0,-0.531
0,2600,-1169.298,0.0,0.095,-0.013,0.0,0.0,0.0,-0.05,0.0,1.221,1,1.941,0.029,3.0,-0.7
0,2700,-1169.811,0.0,0.094,0.001,0.0,0.0,0.0,-0.05,0.0,1.228,1,1.944,0.022,-0.668,-0.405
0,2800,-1167.602,-0.0,0.092,0.041,0.0,0.0,0.0,-0.05,0.0,1.249,1,1.949,0.001,-1.0,-0.344
0,2900,-1164.041,-0.015,0.091,0.027,0.0,0.0,0.0,-0.05,0.0,1.243,1,1.951,-0.007,3.0,-0.666
0,3000,-1161.732,-0.012,0.091,0.027,0.0,0.0,0.0,-0.05,0.0,1.242,1,1.952,-0.007,-1.0,-0.486
0,3100,-1159.168,-0.001,0.091,0.013,0.0,0.0,0.0,-0.05,0.0,1.236,1,1.954,-0.014,-1.0,-0.386
0,3200,-1158.283,0.004,0.09,-0.002,0.0,0.0,0.0,-0.05,0.0,1.229,1,1.956,-0.021,0.664,-0.692
0,3300,-1157.719,-0.01,0.091,0.016,0.0,0.0,0.0,-0.05,0.0,1.237,1,1.954,-0.013,-1.0,-0.2
0,3400,-1156.674,-0.005,0.091,0.011,0.0,0.0,0.0,-0.05,0.0,1.235,1,1.955,-0.015,3.0,-0.7
0,3500,-1155.931,-0.005,0.09,0.004,0.0,0.0,0.0,-0.05,0.0,1.231,1,1.955,-0.018,-1.0,-0.114
0,3600,-1157.035,-0.001,0.09,0.001,0.0,0.0,0.0,-0.05,0.0,1.231,1,1.955,-0.02,3.0,-0.214
0,3700,-1157.821,0.0,0.09,-0.006,0.0,0.0,0.0,-0.05,0.0,1.227,1,1.955,-0.023,-1.0,0.019
0,3800,-1158.357,-0.013,0.089,0.02,0.0,0.0,0.0,-0.05,0.0,1.239,1,1.952,-0.009,3.0,0.001
0,3900,-1155.07,0.0,0.091,0.031,0.0,0.0,0.0,-0.05,0.0,1.245,1,1.951,0.005,-1.0,-0.65
0,4000,-1151.646,0.001,0.09,0.037,0.0,0.0,0.0,-0.05,0.0,1.248,1,1.953,-0.002,-1.0,-0.579
0,4100,-1152.102,0.056,0.108,-0.242,-0.145,0.0,0.0,-0.05,0.0,1.171,1,1.925,0.078,-1.0,-0.6
