episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-15310.729,8000,1,7,timeout,3.58,-0.624,47.8
2,-19722.775,8000,1,7,timeout,2.623,0.257,93.5
3,-16584.048,6209,1,7,collision,3.889,-0.87,129.0
4,-15150.858,3335,0,7,collision,0.514,0.87,148.4
5,-13664.347,5476,1,7,collision,3.823,-0.872,179.8
6,-1168.94,41,0,7,collision,-0.862,6.012,180.1
7,-17174.691,8000,1,7,timeout,2.46,0.396,226.1
8,-20830.109,6097,1,7,collision,2.957,0.872,262.0
9,-5821.848,4842,1,7,timeout,1.9,0.232,291.4
10,367.404,8000,0,7,timeout,0.145,0.024,327.0
11,346.52,8000,0,7,timeout,0.142,0.025,362.9
12,-13588.025,7345,0,7,collision,1.838,-0.883,404.0
13,-10584.405,3778,0,7,collision,1.309,0.87,423.7
