episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-7897.066,4097,1,7,collision,3.075,1.027,27.4
2,-4641.569,8000,1,7,timeout,3.678,-0.132,74.8
3,-18356.554,8000,0,7,timeout,0.619,-0.281,124.4
4,-30931.633,8000,2,7,timeout,6.773,0.426,173.1
5,-16749.447,8000,1,7,timeout,5.411,0.379,225.3
6,-23492.854,8000,1,7,timeout,1.704,0.18,274.7
7,-11938.684,5903,2,7,timeout,7.771,0.016,308.8
8,-12089.637,4304,2,7,collision,8.642,0.871,325.9
9,-12003.01,4277,2,7,collision,8.653,0.876,342.9
10,-17397.635,8000,1,7,timeout,5.022,-0.587,391.2
11,-13000.761,8000,1,7,timeout,2.294,0.377,437.7
12,-17258.502,8000,1,7,timeout,3.085,-0.469,483.7
13,-10899.798,8000,1,7,timeout,2.694,0.33,531.6
14,-1493.932,41,0,7,collision,8.043,5.492,531.9
15,-1301.534,41,0,7,collision,0.77,-0.391,532.2
16,-13019.151,8000,1,7,timeout,3.264,-0.368,578.0
17,-5578.095,8000,1,7,timeout,5.41,-0.202,624.5
18,-3560.323,1918,0,7,timeout,0.704,0.324,635.6
19,-14995.2,4081,2,7,collision,8.063,0.871,651.8
20,-14185.526,3721,2,7,collision,8.075,0.872,667.9
21,-6467.672,8000,0,7,timeout,0.855,0.043,715.8
22,-8934.488,8000,1,7,timeout,3.886,0.121,761.8
23,-10176.954,2785,0,7,collision,1.36,-0.986,779.2
24,-23628.511,8000,2,7,timeout,7.194,0.022,823.9
25,-18207.373,8000,1,7,timeout,4.027,-0.461,871.0
26,-9157.812,8000,1,7,timeout,4.114,0.017,919.4
27,-1422.961,41,0,7,collision,0.974,1.085,919.8
28,-5752.21,7174,1,7,timeout,3.943,0.097,964.4
29,-13547.553,3973,2,7,collision,8.296,0.874,980.6
30,-13192.36,3992,2,7,collision,8.294,0.874,997.0
31,-25510.754,8000,2,7,timeout,8.46,-0.044,1045.4
32,-18740.913,8000,1,7,timeout,2.885,0.369,1093.0
33,-35578.656,8000,2,7,timeout,7.448,0.586,1140.1
34,-13991.376,8000,1,7,timeout,4.664,-0.512,1188.2
35,-27571.166,8000,2,7,timeout,8.24,0.418,1233.8
36,-9225.775,8000,0,7,timeout,1.214,0.097,1278.9
37,-3810.288,2000,0,7,timeout,1.375,0.383,1290.4
38,-456.334,41,2,7,collision,9.988,0.154,1290.6
39,-756.191,41,2,7,collision,6.226,0.611,1290.9
40,856.637,8000,0,7,timeout,0.0,0.0,1337.1
41,856.637,8000,0,7,timeout,0.0,0.0,1383.8
42,856.637,8000,0,7,timeout,0.0,0.0,1434.5
