episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
0,4097,3.075,1.027,102.5,3.0,-0.174,0.223,165,1,27.4
7,4304,8.642,0.871,26.9,3.0,0.154,0.379,240,2,325.9
8,4277,8.651,0.875,27.2,2.725,0.017,0.375,240,2,342.9
13,41,8.043,5.492,90.2,-1.0,-0.35,0.2,345,0,531.9
14,41,0.77,-0.391,-93.4,-1.0,-0.454,0.121,120,0,532.2
18,4081,8.063,0.871,14.1,3.0,-0.006,0.379,255,2,651.8
19,3721,8.075,0.872,15.3,3.0,-0.027,0.378,240,2,667.9
22,2785,1.36,-0.986,-167.4,2.54,-0.55,0.264,255,0,779.2
26,41,0.974,1.085,23.2,3.0,0.063,0.148,90,0,919.8
28,3973,8.296,0.874,18.5,3.0,-0.0,0.376,240,2,980.6
29,3992,8.291,0.873,18.5,3.0,-0.001,0.376,240,2,997.0
37,41,9.988,0.154,171.8,-1.0,-0.286,0.128,225,2,1290.6
38,41,6.226,0.611,-102.1,-1.0,-0.476,0.12,300,2,1290.9
