episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,28.829,0.19,0.156,0.098,0.0,0.0,0.0,-0.05,0.0,1.246,0,0.185,-0.004,3.0,0.059
0,200,55.636,0.134,0.154,0.099,0.0,0.0,0.0,-0.05,0.0,1.248,0,0.353,-0.003,2.165,-0.134
0,300,83.963,0.218,0.156,0.07,0.0,0.0,0.0,-0.05,0.0,1.232,0,0.556,-0.018,0.924,0.348
0,400,104.62,0.008,0.156,0.084,0.0,0.0,0.0,-0.05,0.0,1.239,0,0.689,-0.011,-1.0,-0.347
0,500,126.495,0.483,0.151,0.058,0.0,0.0,0.0,-0.05,0.0,1.229,0,0.834,-0.021,3.0,-0.046
0,600,147.98,0.117,0.154,0.03,0.0,0.0,0.0,-0.05,0.0,1.213,0,1.009,-0.037,3.0,0.003
0,700,169.006,0.214,0.156,0.013,0.0,0.0,0.0,-0.05,0.0,1.204,0,1.198,-0.046,1.807,0.356
0,800,181.942,0.0,0.155,0.009,0.0,0.0,0.0,-0.05,0.0,1.202,0,1.315,-0.048,3.0,0.056
0,900,200.964,-0.0,0.156,0.012,0.0,0.0,0.0,-0.05,0.0,1.203,0,1.496,-0.047,1.704,-0.244
0,1000,216.178,0.123,0.156,-0.002,-0.006,0.0,0.0,-0.05,0.0,1.199,0,1.642,-0.051,-1.0,0.199
0,1100,230.056,0.257,0.152,0.001,0.0,0.0,0.0,-0.05,0.0,1.2,0,1.776,-0.05,3.0,-0.0
0,1200,344.967,0.063,0.148,0.014,0.0,0.0,0.0,-0.05,0.0,1.208,1,1.929,-0.042,3.0,-0.053
0,1300,367.354,0.261,0.151,0.049,0.0,0.0,0.0,-0.05,0.0,1.223,1,2.115,-0.026,3.0,0.161
0,1400,390.931,0.0,0.157,0.084,0.0,0.0,0.0,-0.05,0.0,1.239,1,2.28,-0.012,3.0,-0.008
0,1500,422.004,0.222,0.157,0.076,0.0,0.0,0.0,-0.05,0.0,1.235,1,2.51,-0.015,3.0,0.356
0,1600,448.878,0.292,0.155,0.085,0.0,0.0,0.0,-0.05,0.0,1.24,1,2.698,-0.01,3.0,0.013
0,1700,473.971,0.0,0.147,0.092,0.0,0.0,0.0,-0.05,0.0,1.248,1,2.862,0.003,-0.977,0.014
0,1800,495.122,0.217,0.153,0.08,0.0,0.0,0.0,-0.05,0.0,1.238,1,2.989,0.011,3.0,-0.252
0,1900,520.437,0.228,0.143,0.045,0.0,0.0,0.0,-0.05,0.0,1.227,1,3.164,-0.024,-1.0,-0.129
0,2000,532.393,0.195,0.147,-0.024,-0.013,0.0,0.0,-0.05,0.0,1.197,1,3.27,-0.054,2.299,0.342
0,2100,307.901,0.006,0.016,-4.648,-2.688,-0.751,0.0,-0.05,0.0,0.662,1,3.528,0.587,-0.767,-0.27
0,2200,-147.748,-0.002,0.014,-4.466,-2.654,-0.615,0.0,-0.05,0.0,0.669,1,3.538,0.581,-0.067,-0.206
0,2300,-586.692,0.0,0.013,-4.357,-2.633,-0.533,0.0,-0.05,0.0,0.673,1,3.545,0.577,-1.0,-0.55
0,2400,-1019.516,-0.004,0.013,-4.255,-2.614,-0.457,0.0,-0.05,0.0,0.677,1,3.548,0.573,-1.0,-0.499
0,2500,-1445.816,0.054,0.013,-4.211,-2.607,-0.426,0.0,-0.05,0.0,0.679,1,3.546,0.571,-1.0,-0.5
