episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-16080.906,8000,1,7,timeout,4.682,0.407,49.7
2,-10631.089,2241,0,7,collision,1.126,1.07,65.3
3,-18220.968,8000,2,7,timeout,7.593,0.028,111.9
4,-4206.747,8000,1,7,timeout,2.805,0.009,159.3
5,-10994.883,8000,0,7,timeout,1.414,-0.129,205.9
6,-28142.65,6720,2,7,collision,7.635,1.042,246.5
7,-5005.398,4096,1,7,collision,4.308,1.029,270.7
8,-8647.456,4943,1,7,timeout,2.578,0.223,299.3
9,-25669.799,3126,2,7,collision,6.576,0.87,312.7
10,-25008.209,2985,2,7,collision,6.593,0.871,326.3
11,-816.115,41,2,7,collision,9.615,-0.994,326.6
12,-41265.89,7013,1,7,collision,4.746,0.87,371.3
13,-473.41,291,0,7,collision,0.589,0.884,375.3
