episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
1,2241,1.126,1.07,-1.3,-1.0,-0.45,0.18,270,0,65.3
5,6720,7.635,1.042,92.5,3.0,0.519,0.208,165,2,246.5
6,4096,4.308,1.029,79.0,-1.0,0.177,0.222,180,1,270.7
8,3126,6.576,0.87,22.8,1.544,0.006,0.38,240,2,312.7
9,2985,6.593,0.871,22.8,1.533,0.006,0.379,240,2,326.3
10,41,9.615,-0.994,105.9,3.0,0.15,0.175,225,2,326.6
11,7013,4.746,0.87,18.3,-1.0,0.002,0.38,240,1,371.3
12,291,0.589,0.884,110.6,3.0,0.283,0.37,150,0,375.3
