episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
0,6907,3.466,0.871,40.7,0.767,-0.133,0.379,225,1,39.9
1,6973,3.764,-0.871,-14.9,3.0,-0.061,0.379,105,1,76.7
2,5197,3.754,-0.87,-14.7,1.277,0.189,0.38,90,1,104.7
4,3745,2.77,0.87,37.1,1.229,0.032,0.38,225,1,124.2
5,3059,2.784,0.872,36.7,1.232,0.032,0.378,225,1,136.2
6,3075,2.785,0.871,36.7,1.232,0.032,0.379,225,1,148.3
7,3076,2.785,0.872,36.7,1.232,0.032,0.378,225,1,160.3
8,36,1.163,-3.014,-12.1,1.188,0.011,0.121,120,0,160.5
9,2845,2.038,0.87,57.3,2.242,0.291,0.38,210,0,176.4
10,41,2.659,0.911,-101.1,1.728,-0.09,0.132,300,1,176.7
11,5518,2.401,-0.872,-47.2,-1.0,0.041,0.378,135,1,205.0
12,2317,1.969,-0.959,-61.3,3.0,-0.168,0.299,150,0,218.3
13,1,-9.124,-0.477,-63.2,2.361,-0.05,10.0,0,0,218.6
14,6472,6.147,-0.871,-35.1,1.948,-0.119,0.379,120,1,253.0
24,5210,5.702,-0.87,-7.4,1.551,-0.007,0.38,90,1,550.9
25,5191,5.703,-0.87,-7.4,1.551,-0.007,0.38,90,1,571.1
26,5035,5.702,-0.87,-7.4,1.551,-0.007,0.38,90,1,590.9
27,5428,5.701,-0.87,-7.4,1.551,-0.007,0.38,90,1,612.2
28,5486,5.704,-0.87,-7.4,1.551,-0.007,0.38,90,1,633.6
30,5729,6.361,-0.881,-56.9,3.0,-0.223,0.372,135,1,706.7
32,6495,8.456,-0.87,-12.1,1.625,-0.054,0.38,90,2,765.5
33,6946,8.467,-0.871,-12.3,1.623,-0.054,0.378,90,2,792.5
34,7170,8.474,-0.871,-12.3,1.624,-0.054,0.379,90,2,820.6
35,6420,8.461,-0.87,-12.2,1.624,-0.054,0.379,90,2,845.6
36,7173,8.465,-0.87,-12.2,1.624,-0.054,0.379,90,2,873.8
37,5950,5.711,-0.873,-68.7,0.964,0.121,0.378,150,1,904.8
38,2891,1.8,-0.871,-104.2,-0.805,0.046,0.38,180,0,921.0
39,1580,0.824,-0.871,-109.3,2.785,-0.134,0.38,195,0,929.7
40,1667,1.079,-0.871,-90.0,1.93,-0.063,0.379,180,0,938.1
41,1930,1.062,-0.873,-82.9,2.33,-0.055,0.378,165,0,948.6
42,2156,1.4,-0.872,-76.4,-0.045,-0.33,0.378,165,0,960.2
43,2070,1.255,-0.875,-79.5,0.095,-0.122,0.375,165,0,971.3
45,1868,1.142,-0.874,-84.4,1.122,-0.148,0.376,165,0,988.4
46,1517,1.145,-0.874,-84.0,1.117,-0.147,0.376,165,0,994.4
47,7648,1.176,-0.872,-81.1,1.038,-0.14,0.377,165,0,1024.4
48,1548,1.154,-0.871,-83.9,1.115,-0.148,0.378,165,0,1030.6
49,1517,1.153,-0.87,-83.6,1.11,-0.147,0.379,165,0,1036.6
50,2401,1.145,-1.047,-90.0,-0.808,-0.268,0.204,165,0,1050.2
51,2048,1.015,-0.999,-99.9,-0.783,-0.161,0.252,180,0,1061.3
52,2048,1.021,-1.016,-108.8,-0.729,-0.18,0.234,195,0,1072.1
53,2585,1.091,-0.872,-107.8,3.0,-0.135,0.377,195,0,1085.7
54,2421,0.997,-0.871,-106.9,1.373,-0.442,0.379,195,0,1098.7
55,1871,1.418,-0.87,-87.0,2.975,-0.336,0.38,165,0,1109.0
56,41,-1.371,-0.895,-6.0,3.0,-0.016,0.355,90,0,1109.3
57,3322,0.364,-1.077,-178.1,0.404,-0.253,0.173,255,0,1127.2
58,2373,1.242,-0.87,-114.2,0.668,-0.516,0.38,195,0,1139.7
60,4226,3.77,-0.87,-11.3,1.392,-0.019,0.38,90,1,1160.7
61,4926,3.771,-0.87,-11.3,1.392,-0.019,0.38,90,1,1180.2
62,4335,3.775,-0.871,-11.4,1.392,-0.019,0.379,90,1,1197.4
63,5054,3.769,-0.871,-11.3,1.392,-0.019,0.38,90,1,1217.3
64,4633,3.766,-0.871,-11.3,1.392,-0.019,0.379,90,1,1235.6
65,3111,2.162,-0.87,-82.9,0.548,-0.554,0.38,165,1,1252.6
67,6675,4.45,-0.871,-94.2,0.691,-0.34,0.379,180,1,1330.4
69,3927,4.139,-0.87,-12.5,1.442,-0.024,0.38,90,1,1357.7
70,4112,4.164,-0.871,-12.7,1.442,-0.025,0.379,90,1,1374.2
71,41,2.271,4.617,-30.3,1.316,-0.009,0.121,225,0,1374.4
72,3919,4.161,-0.87,-12.7,1.442,-0.025,0.38,90,1,1390.2
