episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-19716.864,6907,1,7,collision,3.466,0.871,39.9
2,-26268.883,6973,1,7,collision,3.764,-0.871,76.7
3,-20467.174,5197,1,7,collision,3.754,-0.87,104.7
4,106.3,923,0,7,timeout,0.774,-0.089,109.2
5,-12446.878,3745,1,7,collision,2.77,0.87,124.2
6,-7852.444,3059,1,7,collision,2.784,0.872,136.2
7,-7735.116,3075,1,7,collision,2.785,0.871,148.3
8,-7816.131,3076,1,7,collision,2.785,0.872,160.3
9,-1307.855,36,0,7,oob,1.163,-3.014,160.5
10,-7597.38,2845,0,7,collision,2.038,0.87,176.4
11,-1259.427,41,1,7,collision,2.659,0.911,176.7
12,-25396.842,5518,1,7,collision,2.401,-0.872,205.0
13,-5524.523,2317,0,7,collision,1.969,-0.959,218.3
14,-500.427,1,0,7,oob,-9.124,-0.477,218.6
15,-26889.109,6472,1,7,collision,6.147,-0.871,253.0
16,-1573.9,2806,1,7,timeout,1.909,-0.442,267.6
17,-25565.505,8000,1,7,timeout,5.848,-0.774,298.9
18,-16202.521,8000,1,7,timeout,5.224,-0.711,330.0
19,-29094.369,8000,1,7,timeout,6.083,-0.802,361.5
20,-28280.593,8000,1,7,timeout,6.032,-0.793,392.8
21,-20339.512,8000,1,7,timeout,5.606,-0.753,423.8
22,-8918.285,8000,2,7,timeout,6.805,0.346,466.6
23,-15330.724,8000,2,7,timeout,7.474,-0.419,509.4
24,-8397.02,4000,1,7,timeout,3.8,-0.701,530.7
25,-32399.968,5210,1,7,collision,5.702,-0.87,550.9
26,-32516.708,5191,1,7,collision,5.703,-0.87,571.1
27,-30727.84,5035,1,7,collision,5.702,-0.87,590.9
28,-33039.657,5428,1,7,collision,5.701,-0.87,612.2
29,-35417.923,5486,1,7,collision,5.704,-0.87,633.6
30,-19039.851,8000,2,7,timeout,8.512,-0.479,676.0
31,-10000.279,5729,2,7,collision,6.361,-0.881,706.7
32,-20224.32,6271,2,7,timeout,7.559,-0.853,740.2
33,-46702.483,6495,2,7,collision,8.456,-0.87,765.5
34,-50419.527,6946,2,7,collision,8.467,-0.871,792.5
35,-49635.958,7170,2,7,collision,8.474,-0.871,820.6
36,-47624.43,6420,2,7,collision,8.461,-0.87,845.6
37,-50827.916,7173,2,7,collision,8.465,-0.87,873.8
38,-8809.771,5950,1,7,collision,5.711,-0.873,904.8
39,-6886.777,2891,0,7,collision,1.8,-0.871,921.0
40,-5932.944,1580,0,7,collision,0.824,-0.871,929.7
41,-5242.362,1667,0,7,collision,1.079,-0.871,938.1
42,-6418.211,1930,0,7,collision,1.062,-0.873,948.6
43,-8273.076,2156,0,7,collision,1.4,-0.874,960.2
44,-8499.994,2070,0,7,collision,1.255,-0.875,971.3
45,-1218.773,1756,0,7,timeout,1.704,-0.504,980.9
46,-6256.736,1868,0,7,collision,1.142,-0.874,988.4
47,-5680.539,1517,0,7,collision,1.145,-0.874,994.4
48,-63611.842,7648,0,7,collision,1.176,-0.872,1024.4
49,-5672.63,1548,0,7,collision,1.154,-0.871,1030.6
50,-5629.944,1517,0,7,collision,1.153,-0.87,1036.6
51,-14735.539,2401,0,7,collision,1.145,-1.047,1050.2
52,-2360.819,2048,0,7,collision,1.015,-0.999,1061.3
53,-2695.59,2048,0,7,collision,1.021,-1.016,1072.1
54,-8909.429,2585,0,7,collision,1.09,-0.873,1085.7
55,-8633.651,2421,0,7,collision,0.997,-0.871,1098.7
56,-7334.747,1871,0,7,collision,1.418,-0.87,1109.0
57,-1517.057,41,0,7,collision,-1.371,-0.895,1109.3
58,-13872.659,3322,0,7,collision,0.364,-1.077,1127.2
59,-6807.357,2373,0,7,collision,1.242,-0.87,1139.7
60,100.829,890,0,7,timeout,0.707,-0.1,1144.1
61,-20703.586,4226,1,7,collision,3.771,-0.87,1160.8
62,-29190.445,4926,1,7,collision,3.771,-0.87,1180.2
63,-20577.993,4335,1,7,collision,3.775,-0.871,1197.4
64,-27015.225,5054,1,7,collision,3.769,-0.871,1217.3
65,-24588.031,4633,1,7,collision,3.766,-0.871,1235.6
66,-7385.744,3111,1,7,collision,2.162,-0.87,1252.6
67,-4662.114,8000,2,7,timeout,5.962,0.19,1295.0
68,-8669.615,6675,1,7,collision,4.45,-0.871,1330.4
69,-1334.314,2214,0,7,timeout,1.707,-0.378,1342.2
70,-19097.315,3927,1,7,collision,4.141,-0.87,1357.7
71,-18858.119,4112,1,7,collision,4.164,-0.871,1374.2
72,-1685.728,41,0,7,collision,2.309,4.672,1374.4
73,-18947.321,3919,1,7,collision,4.161,-0.87,1390.2
