episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,14.862,-0.013,0.155,0.105,0.0,0.0,0.0,-0.05,0.0,1.25,0,0.042,0.0,3.0,0.117
0,200,34.893,0.096,0.155,0.102,0.0,0.0,0.0,-0.05,0.0,1.246,0,0.14,0.004,3.0,-0.172
0,300,51.592,0.249,0.155,0.099,0.0,0.0,0.0,-0.05,0.0,1.244,0,0.206,0.006,3.0,-0.076
0,400,69.297,-0.059,0.156,0.098,0.0,0.0,0.0,-0.05,0.0,1.242,0,0.285,0.008,1.155,-0.157
0,500,85.974,0.028,0.154,0.093,0.0,0.0,0.0,-0.05,0.0,1.239,0,0.356,0.011,-1.0,-0.109
0,600,100.452,0.034,0.155,0.093,0.0,0.0,0.0,-0.05,0.0,1.238,0,0.407,0.013,1.557,0.21
0,700,116.275,0.178,0.156,0.093,0.0,0.0,0.0,-0.05,0.0,1.237,0,0.472,0.013,1.111,-0.123
0,800,129.655,0.026,0.156,0.093,0.0,0.0,0.0,-0.05,0.0,1.237,0,0.512,0.013,3.0,-0.058
0,900,147.171,0.168,0.157,0.095,0.0,0.0,0.0,-0.05,0.0,1.238,0,0.594,0.012,3.0,0.016
0,1000,166.41,0.0,0.156,0.097,0.0,0.0,0.0,-0.05,0.0,1.24,0,0.691,0.01,1.244,0.158
0,1100,186.632,0.0,0.156,0.097,0.0,0.0,0.0,-0.05,0.0,1.24,0,0.796,0.01,2.698,-0.008
0,1200,202.138,0.0,0.154,0.097,0.0,0.0,0.0,-0.05,0.0,1.243,0,0.855,0.007,0.941,0.199
0,1300,220.998,0.109,0.156,0.101,0.0,0.0,0.0,-0.05,0.0,1.245,0,0.943,0.005,-1.0,-0.032
0,1400,235.951,-0.007,0.155,0.102,0.0,0.0,0.0,-0.05,0.0,1.247,0,0.992,0.003,3.0,-0.031
0,1500,254.568,0.187,0.157,0.107,0.0,0.0,0.0,-0.05,0.0,1.25,0,1.074,0.0,0.568,0.087
0,1600,272.594,0.091,0.156,0.105,0.0,0.0,0.0,-0.05,0.0,1.249,0,1.147,-0.001,2.593,-0.063
0,1700,292.035,0.21,0.154,0.099,0.0,0.0,0.0,-0.05,0.0,1.245,0,1.24,-0.005,2.817,0.09
0,1800,307.331,0.039,0.154,0.096,0.0,0.0,0.0,-0.05,0.0,1.242,0,1.295,-0.008,2.754,-0.326
0,1900,323.254,0.005,0.15,0.087,0.0,0.0,0.0,-0.05,0.0,1.236,0,1.362,-0.014,-1.0,-0.221
0,2000,337.039,0.128,0.151,0.08,0.0,0.0,0.0,-0.05,0.0,1.229,0,1.417,-0.021,-0.582,0.112
0,2100,494.177,0.0,0.147,0.089,0.0,0.0,0.0,-0.05,0.0,1.242,1,1.902,0.008,3.0,-0.003
