episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-6764.625,8000,2,7,timeout,6.094,-0.314,46.2
2,-821.474,11,0,7,collision,-0.935,-1.492,46.3
3,-14041.729,8000,2,7,timeout,5.92,-0.245,89.8
4,-10251.287,3989,1,7,timeout,3.305,-0.554,111.5
5,-34376.553,5628,1,7,collision,3.407,-0.87,136.8
6,-1000.058,11,0,7,collision,-1.438,-0.583,136.9
7,-983.57,11,0,7,collision,-1.684,-1.009,137.1
8,-908.294,11,0,7,collision,-1.4,-0.777,137.2
9,-1183.629,11,0,7,collision,3.426,6.642,137.4
10,-42444.964,6220,1,7,collision,4.732,-0.87,173.8
11,-851.504,17,0,7,collision,2.667,-2.666,174.0
12,-36334.049,3970,1,7,collision,2.699,-0.871,196.1
13,-31670.951,3726,1,7,collision,3.813,0.872,216.5
14,-9604.031,3089,1,7,collision,2.336,-0.871,233.9
15,-3214.283,2978,1,7,timeout,2.265,-0.411,250.7
16,-29544.306,4465,1,7,collision,3.358,-0.871,270.8
17,-27436.417,4571,1,7,collision,3.364,-0.871,290.4
18,-28206.087,4259,1,7,collision,3.364,-0.871,309.6
19,-970.511,11,0,7,collision,3.146,6.138,309.7
20,-30813.351,4690,1,7,collision,3.353,-0.872,329.3
21,-41699.973,6421,1,7,collision,3.506,-0.87,365.6
22,-820.275,11,0,7,collision,1.173,-0.401,365.7
23,-516.161,11,0,7,collision,0.258,1.789,365.9
24,-24473.041,3195,0,7,collision,1.318,0.872,384.7
25,-29143.899,3571,0,7,collision,1.334,0.873,405.0
26,-8183.94,2088,0,7,collision,2.191,-0.906,419.0
27,-44413.67,4085,0,7,collision,2.068,0.87,441.1
28,-238.342,618,0,7,timeout,0.669,0.184,445.5
29,-24034.595,3161,1,7,collision,3.37,0.87,458.3
30,-27135.57,3265,1,7,collision,3.384,0.872,471.7
31,-484.447,11,1,7,collision,4.108,1.01,471.8
32,-24907.868,3195,1,7,collision,3.389,0.872,485.0
33,-930.347,11,0,7,collision,-1.477,-1.001,485.1
34,-515.595,1,0,7,oob,-40.688,-15.694,485.2
35,-47774.345,4943,1,7,collision,2.617,-0.873,513.1
36,-765.192,11,0,7,collision,-0.292,-0.262,513.2
37,-546.521,1,0,7,oob,-52.181,-46.562,513.4
38,-45397.854,4466,1,7,collision,2.237,0.874,539.5
39,-605.828,3,0,7,oob,-3.108,0.357,539.7
40,-29232.848,4412,0,7,collision,1.84,0.87,566.0
41,-38783.239,4917,1,7,collision,3.153,-0.872,594.8
42,-54.039,1246,0,7,timeout,1.808,0.226,602.6
43,-963.797,11,0,7,collision,-1.504,0.785,602.7
44,-515.885,1,0,7,oob,-5.206,-15.909,602.8
45,-11184.467,1956,0,7,collision,1.31,0.872,610.9
46,-547.166,1,0,7,oob,-3.893,0.35,611.0
47,-1022.79,11,0,7,collision,6.935,-0.13,611.2
48,-29496.984,4009,0,7,collision,1.519,0.871,635.1
49,-29046.849,3117,1,7,collision,2.668,-0.871,652.7
50,-1128.758,11,0,7,collision,8.08,0.27,652.8
51,-33734.043,3137,0,7,collision,1.226,0.87,671.4
52,-35652.731,4651,1,7,collision,3.545,0.87,697.5
53,-26674.62,2099,0,7,collision,1.816,0.877,709.5
54,-7107.225,1469,0,7,collision,1.073,0.872,718.2
55,-833.932,1507,0,7,timeout,0.959,0.244,725.8
56,-10806.972,1672,0,7,collision,1.423,0.871,732.7
57,-10994.29,1662,0,7,collision,1.418,0.873,739.5
58,-10784.026,1694,0,7,collision,1.438,0.873,746.4
59,-15119.44,2229,0,7,collision,1.427,0.87,755.6
60,-11009.418,1772,0,7,collision,1.435,0.872,763.1
61,-37095.96,3631,0,7,collision,1.968,0.87,784.1
