episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
1,4289,8.508,1.009,42.9,3.0,0.057,0.241,225,2,72.0
2,3740,6.636,0.872,32.3,3.0,0.297,0.379,225,2,91.4
3,2114,3.779,0.87,15.9,3.0,0.018,0.38,240,1,102.9
4,41,2.935,0.965,-108.3,-1.0,-0.011,0.123,120,1,103.2
6,3427,7.461,0.874,18.7,3.0,-0.066,0.377,240,2,127.1
7,3393,7.45,0.871,18.9,3.0,-0.067,0.378,240,2,140.9
8,3411,7.453,0.871,19.0,3.0,-0.067,0.379,240,2,154.8
9,41,12.911,4.496,157.5,2.315,0.194,0.12,300,0,155.2
10,3191,7.451,0.874,18.7,3.0,-0.066,0.376,240,2,169.4
11,3149,6.786,0.877,32.3,3.0,-0.183,0.373,225,2,188.8
13,1620,2.952,0.965,47.8,3.0,0.119,0.287,210,1,245.3
14,2018,2.52,0.871,25.3,3.0,-0.242,0.379,240,1,255.0
15,2078,2.148,1.004,52.2,0.562,0.136,0.246,210,0,267.6
16,2048,3.304,0.926,-14.9,3.0,-0.167,0.323,270,1,279.5
17,41,8.354,-0.324,-93.9,2.526,-0.486,0.126,120,2,279.8
19,1232,2.537,0.876,27.2,3.0,0.09,0.375,240,1,290.0
20,1170,2.532,0.876,26.5,3.0,0.092,0.375,240,1,295.3
21,1146,2.536,0.875,27.6,3.0,0.088,0.374,240,1,300.5
22,28,6.78,-3.008,34.4,-0.364,-0.365,0.12,300,0,300.7
23,1157,2.535,0.876,27.1,3.0,0.09,0.375,240,1,306.0
24,41,2.452,0.665,160.3,3.0,-0.084,0.205,345,1,306.3
25,2539,3.131,0.871,34.5,3.0,0.012,0.38,225,1,321.8
