episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,24.246,0.092,0.145,0.072,0.0,0.0,0.0,-0.05,0.0,1.239,0,0.149,0.012,3.0,0.319
0,200,40.887,0.143,0.14,-0.085,-0.053,0.0,0.0,-0.05,0.0,1.189,0,0.306,0.061,-0.361,0.04
0,300,31.823,0.219,0.143,-0.445,-0.311,0.0,0.0,-0.05,0.0,1.138,0,0.484,0.113,3.0,-0.42
0,400,-8.545,0.21,0.151,-0.633,-0.452,0.0,0.0,-0.05,0.0,1.11,0,0.642,0.141,3.0,-0.283
0,500,-51.762,0.258,0.151,-0.645,-0.461,0.0,0.0,-0.05,0.0,1.108,0,0.848,0.142,2.353,0.17
0,600,-108.465,0.148,0.147,-0.845,-0.6,0.0,0.0,-0.05,0.0,1.08,0,1.02,0.171,-1.0,-0.15
0,700,-176.228,0.298,0.157,-0.842,-0.607,0.0,0.0,-0.05,0.0,1.079,0,1.218,0.171,3.0,-0.042
0,800,-229.769,0.295,0.156,-0.704,-0.508,0.0,0.0,-0.05,0.0,1.098,0,1.451,0.151,3.0,-0.019
0,900,-268.93,0.294,0.156,-0.549,-0.398,0.0,0.0,-0.05,0.0,1.12,0,1.686,0.129,3.0,0.076
0,1000,-199.03,0.345,0.152,-0.482,-0.345,0.0,0.0,-0.05,0.0,1.131,1,1.886,0.119,3.0,0.358
0,1100,-234.157,0.07,0.155,-0.658,-0.473,0.0,0.0,-0.05,0.0,1.105,1,2.117,0.145,3.0,-0.24
0,1200,-277.054,0.261,0.151,-0.738,-0.528,0.0,0.0,-0.05,0.0,1.094,1,2.364,0.156,3.0,-0.121
0,1300,-334.136,0.293,0.147,-0.91,-0.646,0.0,0.0,-0.05,0.0,1.071,1,2.607,0.18,3.0,-0.108
0,1400,-409.379,0.23,0.153,-0.997,-0.714,0.0,0.0,-0.05,0.0,1.057,1,2.831,0.193,3.0,0.127
0,1500,-488.516,0.25,0.149,-1.087,-0.775,0.0,0.0,-0.05,0.0,1.045,1,3.077,0.205,3.0,0.053
0,1600,-579.761,0.263,0.154,-1.153,-0.827,0.0,0.0,-0.05,0.0,1.035,1,3.308,0.215,3.0,0.055
0,1700,-677.351,0.097,0.147,-1.252,-0.891,0.0,0.0,-0.05,0.0,1.022,1,3.516,0.229,3.0,0.026
0,1800,-792.224,0.0,0.141,-1.491,-1.059,0.0,0.0,-0.05,0.0,0.988,1,3.736,0.262,3.0,0.039
0,1900,-934.784,0.383,0.146,-1.774,-1.264,0.0,0.0,-0.05,0.0,0.947,1,3.959,0.303,3.0,-0.117
0,2000,-1099.665,0.138,0.152,-1.88,-1.345,0.0,0.0,-0.05,0.0,0.931,1,4.155,0.319,3.0,-0.251
0,2100,-1198.458,0.0,0.142,-2.397,-1.706,0.0,0.0,-0.05,0.0,0.859,1,5.318,0.391,3.0,-0.344
0,2200,-1423.789,0.282,0.155,-2.322,-1.661,0.0,0.0,-0.05,0.0,0.868,1,5.457,0.383,3.0,0.02
0,2300,-1633.186,0.341,0.155,-2.122,-1.521,0.0,0.0,-0.05,0.0,0.896,1,5.576,0.353,2.635,0.438
