episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
1,-25308.935,8000,2,7,timeout,8.925,0.389,46.2
2,-13079.751,4289,2,7,collision,8.508,1.009,72.0
3,-16255.286,3740,2,7,collision,6.636,0.872,91.4
4,-11635.968,2114,1,7,collision,3.779,0.87,102.9
5,-1238.828,41,1,7,collision,2.935,0.965,103.2
6,-3652.072,1816,1,7,timeout,3.765,0.555,113.2
7,-13686.164,3427,2,7,collision,7.461,0.874,127.1
8,-13630.931,3393,2,7,collision,7.45,0.871,140.9
9,-13075.812,3411,2,7,collision,7.456,0.872,154.8
10,-1947.652,41,0,7,collision,12.911,4.496,155.2
11,-12698.301,3191,2,7,collision,7.451,0.874,169.4
12,-18913.443,3149,2,7,collision,6.786,0.877,188.8
13,-22615.428,8000,1,7,timeout,2.909,0.281,235.2
14,-2943.059,1620,1,7,collision,2.952,0.965,245.3
15,-10052.531,2018,1,7,collision,2.52,0.871,255.0
16,-13438.791,2078,0,7,collision,2.148,1.004,267.6
17,-10489.718,2048,1,7,collision,3.304,0.926,279.5
18,-672.069,41,2,7,collision,8.528,-0.335,279.8
19,-1267.251,1046,0,7,timeout,0.906,0.49,285.0
20,-8212.068,1232,1,7,collision,2.537,0.876,290.0
21,-7862.733,1170,1,7,collision,2.532,0.876,295.3
22,-7646.998,1146,1,7,collision,2.536,0.875,300.5
23,-1373.97,28,0,7,oob,6.78,-3.008,300.7
24,-7791.489,1157,1,7,collision,2.535,0.876,306.0
25,-1375.873,41,1,7,collision,2.452,0.665,306.3
26,-12007.014,2539,1,7,collision,3.131,0.871,321.8
