episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,25.572,0.179,0.147,0.072,0.0,0.0,0.0,-0.05,0.0,1.227,0,0.166,0.025,3.0,-0.082
0,200,42.462,0.102,0.141,0.036,-0.004,0.0,0.0,-0.05,0.0,1.199,0,0.282,0.051,-1.0,0.218
0,300,45.743,-0.011,0.14,-0.057,-0.081,0.0,0.0,-0.05,0.0,1.184,0,0.327,0.066,-1.0,-0.121
0,400,40.283,0.027,0.14,-0.103,-0.119,0.0,0.0,-0.05,0.0,1.176,0,0.35,0.074,3.0,0.155
0,500,29.762,-0.005,0.139,-0.15,-0.158,0.0,0.0,-0.05,0.0,1.168,0,0.372,0.081,3.0,0.227
0,600,14.403,0.0,0.139,-0.166,-0.17,0.0,0.0,-0.05,0.0,1.166,0,0.379,0.084,-1.0,0.171
0,700,-1.833,0.03,0.139,-0.16,-0.166,0.0,0.0,-0.05,0.0,1.167,0,0.377,0.083,-1.0,0.014
0,800,-18.194,-0.001,0.139,-0.184,-0.186,0.0,0.0,-0.05,0.0,1.163,0,0.386,0.087,-1.0,-0.296
0,900,-36.022,-0.005,0.14,-0.212,-0.21,0.0,0.0,-0.05,0.0,1.158,0,0.401,0.092,0.697,-0.075
0,1000,-57.126,-0.011,0.14,-0.24,-0.233,0.0,0.0,-0.05,0.0,1.153,0,0.415,0.097,-1.0,0.049
0,1100,-81.231,0.04,0.14,-0.296,-0.28,0.0,0.0,-0.05,0.0,1.144,0,0.444,0.106,1.126,-0.063
0,1200,-111.462,-0.017,0.139,-0.314,-0.294,0.0,0.0,-0.05,0.0,1.141,0,0.453,0.109,-1.0,0.137
0,1300,-142.717,-0.0,0.139,-0.314,-0.295,0.0,0.0,-0.05,0.0,1.141,0,0.454,0.109,-1.0,-0.243
0,1400,-174.152,-0.008,0.139,-0.358,-0.331,0.0,0.0,-0.05,0.0,1.134,0,0.476,0.116,1.819,0.316
0,1500,-210.367,-0.051,0.138,-0.402,-0.366,0.0,0.0,-0.05,0.0,1.127,0,0.496,0.123,-1.0,0.226
0,1600,-250.262,0.0,0.138,-0.403,-0.367,0.0,0.0,-0.05,0.0,1.127,0,0.496,0.123,1.741,-0.079
0,1700,-291.264,-0.013,0.137,-0.42,-0.381,0.0,0.0,-0.05,0.0,1.124,0,0.502,0.126,-1.0,0.137
0,1800,-333.079,-0.001,0.137,-0.419,-0.38,0.0,0.0,-0.05,0.0,1.124,0,0.503,0.126,3.0,-0.33
0,1900,-376.201,-0.046,0.138,-0.434,-0.393,0.0,0.0,-0.05,0.0,1.121,0,0.508,0.128,2.626,-0.23
0,2000,-417.756,0.018,0.14,-0.47,-0.424,0.0,0.0,-0.05,0.0,1.115,0,0.534,0.137,-1.0,-0.093
0,2100,-465.496,0.019,0.138,-0.368,-0.339,0.0,0.0,-0.05,0.0,1.132,0,0.477,0.117,-0.679,0.049
0,2200,-503.259,-0.003,0.138,-0.389,-0.356,0.0,0.0,-0.05,0.0,1.129,0,0.488,0.121,-1.0,-0.105
0,2300,-542.839,-0.002,0.138,-0.389,-0.356,0.0,0.0,-0.05,0.0,1.129,0,0.488,0.121,2.552,0.127
0,2400,-580.915,0.012,0.138,-0.389,-0.356,0.0,0.0,-0.05,0.0,1.129,0,0.488,0.121,0.627,0.107
