episode,total_reward,steps,max_wp_reached,wp_total,end_reason,end_x,end_y,wall_time_s
100,-11247.734,8000,2,7,timeout,9.084,0.461,2578.0
101,-11180.766,8000,2,7,timeout,9.039,0.437,2609.6
102,-5966.664,8000,1,7,timeout,5.457,-0.369,2653.1
103,-8603.453,8000,2,7,timeout,9.142,0.22,2696.4
104,-4637.058,4000,1,7,timeout,5.603,0.127,2718.1
105,-12752.647,8000,2,7,timeout,9.576,0.884,2749.5
106,-1150.443,41,0,7,collision,-0.438,0.92,2749.8
107,-12916.75,8000,2,7,timeout,9.575,0.885,2781.3
108,-12724.273,8000,2,7,timeout,9.578,0.883,2812.5
109,-12683.16,8000,2,7,timeout,9.577,0.885,2843.8
110,-10866.468,8000,2,7,timeout,9.854,0.59,2887.5
111,-15248.141,8000,2,7,timeout,8.274,0.111,2929.4
112,-4023.63,4000,2,7,timeout,7.754,0.402,2951.3
113,-18921.321,8000,6,7,timeout,9.644,9.121,2983.6
114,-19215.109,8000,6,7,timeout,9.684,9.057,3015.8
115,-19456.806,8000,5,7,timeout,9.884,8.562,3047.1
116,-19634.849,8000,5,7,timeout,9.89,8.551,3078.6
117,-19009.376,8000,5,7,timeout,9.763,8.866,3110.3
118,-23138.643,8000,2,7,timeout,8.787,0.37,3152.8
119,-1428.727,41,0,7,collision,3.454,6.962,3153.1
120,-13303.774,8000,2,7,timeout,8.355,-0.267,3196.7
121,-1402.45,41,0,7,collision,-2.334,3.54,3197.1
122,-3950.905,3918,2,7,timeout,7.455,0.537,3218.6
123,-15472.864,8000,2,7,timeout,8.399,0.187,3250.4
