episode,step,x,y,yaw_deg,speed_mps,steer_rad,min_lidar_m,closest_sector_deg,wp_index,wall_time_s
0,4097,4.222,-0.9,-21.1,1.712,-0.039,0.351,105,1,26.1
1,4646,5.001,-0.871,-57.0,3.0,-0.346,0.379,135,1,52.7
2,6584,6.66,-0.874,-82.8,1.382,-0.038,0.376,165,2,90.6
3,41,-0.954,0.695,72.9,2.575,-0.05,0.121,225,0,90.9
4,4584,4.043,-0.871,-30.6,-0.086,0.055,0.379,120,1,117.2
6,3672,4.584,-0.873,-37.9,1.063,-0.235,0.378,120,1,132.7
7,41,2.397,0.346,-23.8,1.823,0.059,0.12,300,1,133.0
8,4410,4.586,-0.872,-38.0,1.067,-0.235,0.378,120,1,151.4
9,4068,4.587,-0.872,-38.1,1.07,-0.236,0.378,120,1,167.4
10,4149,4.587,-0.872,-38.1,1.069,-0.235,0.378,120,1,183.9
11,7277,6.844,-0.872,-79.0,1.369,-0.524,0.378,165,2,224.1
12,4810,4.677,-0.873,-92.6,1.112,-0.35,0.378,180,1,250.2
13,6081,6.197,-0.87,-87.5,3.0,-0.63,0.38,165,2,282.8
15,4927,5.737,-0.871,-104.1,1.092,-0.544,0.379,180,1,312.5
16,4964,5.739,-0.871,-104.3,1.094,-0.544,0.38,180,1,332.1
17,4983,5.741,-0.872,-104.0,1.091,-0.544,0.379,180,1,351.8
18,41,2.709,0.33,126.0,0.849,-0.209,0.122,300,1,352.0
19,4916,5.741,-0.871,-104.0,1.091,-0.544,0.379,180,1,371.7
20,2479,1.603,-0.87,-126.3,3.0,-0.196,0.38,210,0,385.3
21,4665,5.122,-0.871,-76.9,0.616,-0.7,0.379,165,1,411.3
22,4057,2.216,-1.026,-76.4,1.244,-0.183,0.224,165,0,433.7
23,4491,4.925,-0.876,-82.4,2.072,-0.219,0.374,165,1,457.4
24,41,0.19,3.529,-64.7,-1.0,-0.271,0.12,300,0,457.7
26,2887,2.14,-0.871,-77.3,0.707,-0.382,0.379,165,1,492.0
27,2620,2.135,-0.871,-78.0,0.677,-0.38,0.379,165,1,502.3
28,3148,2.145,-0.871,-76.9,0.723,-0.383,0.379,165,1,514.9
29,5688,2.156,-0.871,-75.4,0.78,-0.385,0.379,165,1,537.5
30,41,-0.264,-0.885,-111.6,0.619,-0.427,0.12,300,0,537.9
31,5968,5.648,-0.874,-73.0,0.887,-0.412,0.376,150,1,570.1
32,41,1.19,-0.528,-149.3,0.581,-0.315,0.131,90,0,570.4
33,5672,5.336,-0.923,-56.8,0.845,-0.147,0.328,135,1,601.2
34,5440,4.722,-0.872,-61.8,1.292,-0.474,0.378,150,1,629.6
42,6209,5.405,-1.033,-155.5,-1.0,-0.248,0.217,240,1,880.1
51,41,5.018,0.096,-140.5,1.304,-0.139,0.123,225,1,1155.0
52,2653,1.657,-0.872,-100.1,0.356,-0.475,0.377,180,0,1169.1
59,7871,10.456,-0.872,-102.0,2.475,-0.189,0.38,180,2,1378.4
62,5860,10.015,-0.87,-79.9,0.864,-0.42,0.38,165,2,1467.2
63,6171,10.02,-0.87,-80.0,0.866,-0.42,0.38,165,2,1491.6
65,6015,10.015,-0.871,-79.3,0.87,-0.421,0.379,165,2,1547.0
66,6693,10.013,-0.872,-79.6,0.866,-0.421,0.378,165,2,1573.5
67,5364,6.945,-0.87,-134.7,-0.948,-0.556,0.38,210,2,1602.2
68,7353,8.301,-0.874,-72.3,3.0,-0.285,0.378,150,2,1643.1
75,41,1.179,0.579,-22.2,-0.82,0.017,0.12,300,0,1841.2
78,41,10.637,-0.045,161.1,-0.955,0.15,0.183,315,2,1927.0
81,41,-1.291,0.789,-111.8,1.282,-0.231,0.12,300,0,1980.4
105,41,-0.438,0.92,-136.3,0.118,-0.357,0.143,315,0,2749.8
118,41,3.367,6.83,27.0,-0.497,-0.35,0.12,300,0,3153.1
120,41,-2.334,3.54,-89.4,2.618,-0.542,0.12,300,0,3197.1
