episode,step,total_reward,r_progress,r_heading,r_lane,r_wall_soft,r_wall_danger,r_speed_wall,r_time_penalty,r_checkpoint,min_lidar_m,wp_index,x,y,speed_mps,steer_rad
0,100,19.312,0.046,0.157,0.105,0.0,0.0,0.0,-0.05,0.0,1.248,0,0.089,0.002,-0.668,-0.179
0,200,38.385,0.287,0.153,0.102,0.0,0.0,0.0,-0.05,0.0,1.249,0,0.175,-0.001,0.63,-0.409
0,300,56.583,0.016,0.144,0.079,0.0,0.0,0.0,-0.05,0.0,1.235,0,0.265,-0.015,0.008,-0.415
0,400,72.177,0.026,0.144,0.056,0.0,0.0,0.0,-0.05,0.0,1.212,0,0.353,-0.038,3.0,0.204
0,500,84.937,0.0,0.143,-0.061,-0.086,0.0,0.0,-0.05,0.0,1.183,0,0.465,-0.067,0.483,-0.393
0,600,78.646,0.007,0.14,-0.17,-0.174,0.0,0.0,-0.05,0.0,1.165,0,0.518,-0.085,2.043,0.189
0,700,63.466,0.078,0.145,-0.306,-0.291,0.0,0.0,-0.05,0.0,1.142,0,0.609,-0.109,2.458,0.153
0,800,37.311,0.131,0.142,-0.425,-0.389,0.0,0.0,-0.05,0.0,1.122,0,0.704,-0.128,-1.0,-0.288
0,900,-2.823,0.207,0.14,-0.562,-0.499,0.0,0.0,-0.05,0.0,1.1,0,0.8,-0.153,2.337,-0.159
0,1000,-60.276,0.179,0.138,-0.742,-0.648,0.0,0.0,-0.05,0.0,1.07,0,0.891,-0.181,-1.0,0.131
0,1100,-132.46,0.0,0.14,-0.903,-0.786,0.0,0.0,-0.05,0.0,1.043,0,0.986,-0.207,-0.39,0.068
0,1200,-220.11,0.095,0.137,-1.03,-0.889,0.0,0.0,-0.05,0.0,1.022,0,1.071,-0.228,0.331,-0.285
0,1300,-322.157,0.0,0.134,-1.198,-1.025,0.0,0.0,-0.05,0.0,0.995,0,1.159,-0.256,2.992,-0.245
0,1400,-443.637,0.245,0.134,-1.333,-1.138,0.0,0.0,-0.05,0.0,0.972,0,1.226,-0.28,2.651,0.027
0,1500,-579.366,-0.0,0.13,-1.494,-1.27,0.0,0.0,-0.05,0.0,0.946,0,1.3,-0.304,3.0,0.015
0,1600,-730.505,-0.01,0.129,-1.657,-1.405,0.0,0.0,-0.05,0.0,0.919,0,1.371,-0.331,3.0,0.153
0,1700,-896.631,0.005,0.13,-1.787,-1.514,0.0,0.0,-0.05,0.0,0.897,0,1.43,-0.353,1.639,-0.147
